monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,age,missing_parking,f_minimart,f_gymnasium,f_security,f_playground,f_swimming_pool,f_parking,f_lift,f_barbeque_area,f_multipurpose_hall,f_jogging_track,f_squash_court,f_sauna,f_club_house,f_tennis_court,missing_facilities,a_air_cond,a_cooking_allowed,a_washing_machine,a_near_ktm_lrt,a_internet,missing_amenities
4200,1700.0,1600.0,5,2,6,1842,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1700,1500.0,1250.0,2,1,2,743,1,1,4,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
1550,1800.0,1650.0,1,1,1,700,2,1,6,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
1400,2000.0,1250.0,2,1,1,750,2,1,10,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2600,1800.0,1650.0,2,1,2,868,1,1,5,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
2000,1700.0,1650.0,4,2,2,1100,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
1500,1800.0,1650.0,1,1,1,700,2,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
1300,1500.0,1650.0,3,1,2,1009,2,1,7,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
3200,2000.0,1250.0,3,1,2,950,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
3200,2000.0,1250.0,3,1,2,950,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
1400,1550.0,1650.0,2,2,2,650,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
1099,1550.0,1650.0,2,1,2,650,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
1099,1550.0,1650.0,2,1,2,650,1,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0
1199,1550.0,1650.0,3,1,2,819,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0
1100,1550.0,1650.0,2,1,2,650,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
2500,1800.0,1600.0,4,2,3,1500,1,1,7,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
2900,1800.0,1600.0,4,2,3,1719,2,1,7,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1750,1500.0,1250.0,3,1,2,1065,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1900,1500.0,1600.0,3,2,2,1300,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4500,2600.0,1650.0,3,2,2,1539,2,1,9,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
1400,1800.0,1600.0,3,1,2,1270,1,1,25,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1800,1550.0,1650.0,3,1,2,819,1,1,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
3000,1700.0,1600.0,3,2,2,1200,2,1,5,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0
1600,1800.0,1600.0,3,1,2,1100,2,1,20,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
1800,1700.0,1600.0,3,1,2,1066,2,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2500,2000.0,1600.0,2,1,1,890,2,1,9,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1300,1500.0,1650.0,2,1,2,650,1,1,4,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
2000,2050.0,1650.0,2,1,2,742,2,1,17,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
2100,1550.0,1600.0,4,1,3,1300,2,1,22,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2600,1900.0,1600.0,4,2,2,1000,2,1,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1
